fami_educacionmadre_num,cole_naturaleza_num,punt_global_scaled
5,1,-0.8058601436826675
11,1,0.8671486645188712
4,1,-0.3933374238521511
11,2,0.4546259446883548
8,1,0.2483645847730966
6,1,-2.43303309412526
11,1,-0.1870760639368929
7,1,-0.16415813505741977
9,1,-0.026650561780580985
11,2,1.0734100244341294
9,2,0.15669286925520406
11,1,1.165081739952022
5,1,-1.0121215035979256
11,1,-1.0121215035979256
6,1,0.3629542291704623
7,1,0.7983948778804518
9,1,-0.553762926008463
8,1,-2.2038538053305285
12,1,-0.003732632901107851
4,1,-0.049568490660054115
6,1,-0.3475015660932048
5,1,-1.7913310855000122
6,1,-0.049568490660054115
9,1,-1.0121215035979256
7,1,-0.049568490660054115
6,1,-0.3933374238521511
11,2,1.165081739952022
6,2,0.5233797313267742
5,1,-1.4933980100668616
9,1,-0.553762926008463
11,2,1.1192458821930757
6,1,-0.89753185920056
3,1,-1.2871366501516033
12,2,0.8671486645188712
9,2,-0.4620912104905705
9,2,0.9359024511572905
7,2,0.34003630029098914
7,2,0.8671486645188712
